,Titles,Ratings,Cast,Genre
0,Trolls Band Together,71.27,"Anna Kendrick,Justin Timberlake,Camila Cabello,Eric André,Amy Schumer,Andrew Rannells,Daveed Diggs,Troye Sivan,Kid Cudi","Animation,Family,Music,Fantasy,Comedy"
1,Oppenheimer,81.56,"Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.,Florence Pugh,Josh Hartnett,Casey Affleck,Rami Malek,Kenneth Branagh","Drama,History"
2,The Creator,71.49,"John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,Amar Chadha-Patel,Marc Menchaca,Robbie Tann","Science Fiction,Action,Thriller"
3,Leo,79.0,"Adam Sandler,Bill Burr,Cecily Strong,Jason Alexander,Rob Schneider,Allison Strong,Jo Koy,Sadie Sandler,Sunny Sandler","Animation,Comedy,Family"
4,Five Nights at Freddy's,78.57000000000001,"Josh Hutcherson,Piper Rubio,Elizabeth Lail,Matthew Lillard,Mary Stuart Masterson,Kat Conner Sterling,David Lind,Christian Stokes,Joseph Poliquin","Horror,Mystery"
5,Expend4bles,64.32000000000001,"Sylvester Stallone,Jason Statham,50 Cent,Megan Fox,Dolph Lundgren,Iko Uwais,Andy García,Tony Jaa,Randy Couture","Action,Adventure,Thriller"
6,Jawan,71.46,"Shah Rukh Khan,Nayanthara,Vijay Sethupathi,Priyamani,Sanya Malhotra,Sunil Grover,Ridhi Dogra,Deepika Padukone,Lehar Khan","Action,Adventure,Thriller"
7,Fast X,72.03,"Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Jason Momoa","Action,Crime,Thriller"
8,Mission: Impossible - Dead Reckoning Part One,76.0,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Rebecca Ferguson,Vanessa Kirby,Esai Morales,Pom Klementieff,Henry Czerny","Action,Thriller"
9,Napoleon,65.03999999999999,"Joaquin Phoenix,Vanessa Kirby,Tahar Rahim,Ben Miles,John Hollingworth,Youssef Kerkour,Davide Tucci,Edouard Philipponnat,Paul Rhys","Drama,History,War"
10,The Mercenary,62.5,"Dominique Vandenberg,Louis Mandylor,Carmen Argenziano,Manny Alva,Brad Ashten,Robb Zbacnik,Jeremiah B. McQueen,Geordie Robinson,Alina Andrei",Action
