	Titles	Ratings	Cast	Genre
0	Leo	75.07	Adam Sandler,Bill Burr,Cecily Strong,Jason Alexander,Rob Schneider,Allison Strong,Jo Koy,Sadie Sandler,Sunny Sandler	Animation,Comedy,Family
1	Trolls Band Together	71.83	Anna Kendrick,Justin Timberlake,Camila Cabello,Eric André,Amy Schumer,Andrew Rannells,Daveed Diggs,Troye Sivan,Kid Cudi	Animation,Family,Music,Fantasy,Comedy
2	Oppenheimer	81.46000000000001	Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.,Florence Pugh,Josh Hartnett,Casey Affleck,Rami Malek,Kenneth Branagh	Drama,History
3	Reign of Chaos	58.849999999999994	Rebecca Finch,Ray Whelan,Kate Milner Evans,Mark Sears,Peter Cosgrove,Carmina Cordelia,Mike Kelson,Kate Lush,Georgia Woodthorpe	Action,Horror,Fantasy
4	Five Nights at Freddy's	78.41	Josh Hutcherson,Piper Rubio,Elizabeth Lail,Matthew Lillard,Mary Stuart Masterson,Kat Conner Sterling,David Lind,Christian Stokes,Joseph Poliquin	Horror,Mystery
5	Expend4bles	64.29	Sylvester Stallone,Jason Statham,50 Cent,Megan Fox,Dolph Lundgren,Iko Uwais,Andy García,Tony Jaa,Randy Couture	Action,Adventure,Thriller
6	Fast X	71.98	Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Jason Momoa	Action,Crime,Thriller
7	The Creator	71.32	John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,Amar Chadha-Patel,Marc Menchaca,Robbie Tann	Science Fiction,Action,Thriller
8	Mousa	64.74000000000001		
9	Inferno	61.04	Jean-Claude Van Damme,Pat Morita,Danny Trejo,Gabrielle Fitzpatrick,Larry Drake,Vincent Schiavelli,David 'Shark' Fralick,Silas Weir Mitchell,Jonathan Avildsen	Action,Drama,Romance
10	Family Switch	63.550000000000004	Jennifer Garner,Ed Helms,Emma Myers,Brady Noon,Lincoln Sykes,Theodore Sykes,Rita Moreno,Matthias Schweighöfer,Vanessa Carrasco	Comedy,Fantasy,Family,Crime
11	Mission: Impossible - Dead Reckoning Part One	75.93	Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Rebecca Ferguson,Vanessa Kirby,Esai Morales,Pom Klementieff,Henry Czerny	Action,Thriller
12	The Immortal Wars: Rebirth	35.0	Corey Taylor,Destiny Salas,Lindsey Cruz,Steve Delgado,Julie Garcia-Briceno,Jackie Gerhardy,Mark Justice,Gotham McFadden,Destiny Faith Nelson	Science Fiction
13	Freelance	64.75	John Cena,Alison Brie,Juan Pablo Raba,Alice Eve,Marton Csokas,Christian Slater,Julianne Arrieta,Molly McCann,Daniel Toro	Action,Comedy
14	Godzilla Minus One	84.58	Ryunosuke Kamiki,Hidetaka Yoshioka,Minami Hamabe,Kuranosuke Sasaki,Yuki Yamada,Saki Nakatani,Munetaka Aoki,Sakura Ando,Mio Tanaka	Drama,Science Fiction,Action
15	Come Out Fighting	47.0	Dolph Lundgren,Tyrese Gibson,Michael Jai White,Kellan Lutz,Vicellous Shannon,Hiram A. Murray,Justen Jones,Gary David Keast,Aaron Courteau	War,Drama,Action
16	Hell House LLC Origins: The Carmichael Manor	62.43000000000001	Bridget Rose Perrotta,Destiny Leilani Brown,James Liddell,Gideon Berger,Cayla Berejikian,Victoria Andrunik,Darin F. Earl II,Searra Sawka,Thomas J. Cipriano	Horror,Mystery
17	Princess Khutulun	70.73	Tserendolgor Munkhbat,Altantur Altanjargal	History,Action,Drama
18	The Super Mario Bros. Movie	77.41	Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,Fred Armisen,Sebastian Maniscalco,Charles Martinet	Animation,Family,Adventure,Fantasy,Comedy
19	The Equalizer 3	74.22	Denzel Washington,Dakota Fanning,Eugenio Mastrandrea,David Denman,Gaia Scodellaro,Remo Girone,Andrea Scarduzio,Andrea Dodero,Daniele Perrone	Action,Thriller,Crime
