	Job Title	Company Name	Rating	Experience	Location	Minimum Requirements	Tech Stack
0	Machine Learning Engineer	Ascendion Engineering	None	4-7 Yrs	Remote	Shift : General Shift  : . Bachelors / Masters/PhD in Computer Science, Information Sys...	Artificial Intelligence,NLP,Natural Language Processing,Aiml,Machine Learning,Deep Learning,Python,Ml
1	Machine Learning Engineer	Lynkit	4.3	4-9 Yrs	New Delhi	- Experience in Python is essential - Experience in python - Experience working in visi...	Machine Learning,OCR,Ai Algorithms,Image Processing,Machine Learning Algorithms,Ml Algorithms,Python,IOT
2	Machine Learning Engineer	Cognial Artificial Intelligence Solutions	None	6-10 Yrs	Hyderabad/Secunderabad	Role & responsibilities Preferred candidate profile Designation: ML Operations Engineer...	Pytorch,Artificial Intelligence,Natural Language Processing,Machine Learning,Deep Learning,Tensorflow,Docker,Api Integration
3	Artificial Intelligence and Machine Learning Engineer	Digispoc Technology	None	28 Oct - 06 Nov	Chennai	Bachelors / Masters degree in Computer Science, Data Science, or a related fieldKnowled...	Artificial Intelligence,Computer Vision,Machine Learning,Algorithm Development,Pattern Recognition,Power Bi,Image Processing,Lidar
4	Machine Learning Engineer	Saregama	4.0	2-7 Yrs	Mumbai, Maharashtra(Grant Road)	Experience -(3-4 Years of ML experience especially in recommendation engines, chatbots,...	chatbot,recommendation engine,Generative ai,Natural Language Processing,Rasa,Deep Learning,Machine learning,Machine
5	Machine Learning Engineer	Incorpway	None	0-3 Yrs	Ahmedabad	Experience: minimum 1 Year	Docker,Opencv,Ci/Cd,AWS,Python,Aws Cloud,Computer Vision,Machine Learning
6	Machine Learning Engineer	Zeta Global	4.4	3-5 Yrs	Bengaluru	Familiarity with distributed batch compute technologies such as Spark . 3-5 years of pr...	SAN,Marketing programs,Campaign management,Artificial Intelligence,Workflow management,Machine learning,Manager Technology,Digital marketing
7	Machine Learning Engineer - Scala/Python	Redbox 	None	10-13 Yrs	Hyderabad/Secunderabad, Others	- Work on state-of-the-art large-scale data analytics and machine learning projects.- E...	Python,Data Science,Predictive Modeling,Scala,Hadoop,Statistical Modeling,Spark,Regression Modeling
8	Machine Learning Engineer/Data Scientist	Innowise	3.8	2-2 Yrs	Pune	Very strong willingness and ability to learn autonomously and together with the team (e...	Data analysis,data science,KPI,Artificial Intelligence,Project management,Machine learning,Manager Technology,Business case
9	Machine Learning Engineer (Generative AI)	Kynea Solutions Llp	3.1	1-6 Yrs	Hyderabad/Secunderabad(Gachibowli)	Proven experience of working with Generative AI models, such as GANs, VAEs, or Transfor...	Tensorflow,Pytorch,Generative AI,Keras,Computer Vision,Machine Learning,Computer,Artificial Intelligence
10	Machine Learning Engineer	Mavenai Technologies	None	2-4 Yrs	Remote	ML Engineer with GIS, Drone, and 360-Degree Image Analysis Experience . We are seeking ...	Machine learning,GIS,Image analysis,Yolo,data analysis,Video analysis,Analysis,Data
11	Research Engineer (Machine Learning)	Ixigo	3.7	2-4 Yrs	Gurugram	You are expected to have in-depth knowledge and acumen to understand the on-going resea...	deep learning,Software design,Statistical modeling,Artificial Intelligence,Machine learning,Programming,Research,Open source
12	Artificial Intelligence/Machine Learning Engineer - R/Python	iMindYourBusiness	None	3-6 Yrs	Bengaluru	- Use of cutting edge data mining, machine learning techniques for building advanced re...	Python,SAS,Artificial Intelligence,Data Analysis,Data Mining,Machine Learning,MATLAB,Intelligence
13	Machine Learning Engineer	Deliveroo	3.8	2-5 Yrs	Hyderabad/Secunderabad	Requirements: . You are someone who knows the fundamentals of machine learning and / or...	Data analysis,Operations research,French,data science,Analytical,Machine learning,Natural language processing,Monitoring
14	AWS Machine Learning Engineer	Ankercloud	2.9	2-6 Yrs	Pune	Hands on experience on TensorFlow, PyTorch, Keras, Caffe, Supervised Machine Learning A...	NoSQL,Linux,GCP,Machine learning,Branch handling,Data quality,MongoDB,AWS
15	Machine Learning Engineer-I	General Mills	4.2	4-8 Yrs	Mumbai	   This role works in close collaboration with Data Scientists, Data Engineers, Platfor...	Supply chain,Automation,Coding,Machine learning,Data mining,Monitoring,Analytics,SQL
16	Artificial intelligence / Machine Learning Engineer	Cotocus Com	None	2-8 Yrs	Bengaluru	. Desired Skills and Experience: . . Css	Computer science,Analytical skills,Artificial Intelligence,Business Economics,Machine learning,Javascript,Business management,Information technology
17	Research Engineer (Machine Learning)	ixigo	3.4	3-6 Yrs	Hybrid - Gurgaon/ Gurugram, Haryana	Company DescriptionLaunched in 2007, ixigo is an AI-based travel app based in Gurugram,...	Natural Language Processing,Machine Learning,Python,Machine,Languages,Research,Processing,Process
18	Machine Learning Engineer	Algomox	4.2	0-2 Yrs	Bengaluru(Sector 2 HSR Layout)	Oversee database management, ensuring queries are optimized for maximum scalabilityProd...	Java,algorithms,Expertise in AI/ML model design,and AI/ML frameworks like TensorFlow and PyTorch. In-depth knowledge of data structures,Python,Golang,Software Engineering,Data Structures
19	Machine Learning Engineer	Minna Technologies	None	2-7 Yrs	Bengaluru	Bachelors or Masters degree in Statistics, Mathematics, Computer Science or a similar f...	Computer science,Software design,Version control,NoSQL,Postgresql,Machine learning,Data processing,MongoDB
20	SAS Visual Data Mining/ Machine Learning Technology Platform Engineer	Accenture	4.0	6-8 Yrs	Bengaluru	Technical Experience : 1 Knowledge of Cloud Analytic Service able to write CAS codes fr...	SAS Studio,SAS Model Manager,SAS Environment Manager,deep learning frameworks,python,SAS,random forest,machine learning
21	Machine Learning Engineer (Video Analysis)	Skylark Labs	2.4	2-7 Yrs	Pune	Requirements . Bachelors or Masters degree in Computer Science, Machine Learning, or a ...	Computer science,Computer vision,Data modeling,Coding,GCP,Artificial Intelligence,Agile development,Machine learning
22	Machine Learning Engineer	Mantras2Success Consultants	None	0-4 Yrs	Hyderabad/Secunderabad	Eager to quickly learn new concepts, languages, tools and technologies as required, for...	BPO,C++,Illustrator,Artificial Intelligence,Machine learning,SCALA,Data processing,Photoshop
23	Data Analytics / Machine Learning Engineers	Tata Elxsi	4.0	3-7 Yrs	Bengaluru	We are looking for bright and passionate Machine Learning Engineers with experience in:...	Solution architecture,Embedded C,C++,Data modeling,GCP,Machine learning,Data structures,Apache
24	AI and Machine Learning Engineer	ePaisa	4.8	2-4 Yrs	Kol, Mumbai, Delhi, Bengaluru, Chennai	. Stay up to date with the latest advancements in AI and machine learning research to c...	Computer science,deep learning,Usage,Neural networks,Service industry,Machine learning,Natural language processing,Research
25	AI and Machine Learning Engineer	Ideatree	5.0	2-4 Yrs	Kol, Mumbai, Delhi, Bengaluru, Chennai	. Stay up to date with the latest advancements in AI and machine learning research to c...	Computer science,deep learning,Usage,Neural networks,Service industry,Machine learning,Natural language processing,Research
26	Machine Learning Engineer	Neuralspace	4.2	4-5 Yrs	Bengaluru	To ensure success as a machine learning engineer, you should demonstrate solid data sci...	Computer science,Automation,Data modeling,Analytical,Artificial Intelligence,Consulting,Machine learning,Agile
