,video_id,no_of_likes,no_of_views,title,no_of_comments
0,o_26SGY83-I,25008,0,Avatar,1653
1,X8SVkfbt8cs,21078,0,Avatar: The Way of Water,1712
2,waJKJW_XU90,418342,17501736,Avatar: The Last Airbender | Official Teaser | Netflix,37725
3,d9MyW72ELq0,1042763,58232911,Avatar: The Way of Water | Official Trailer,43070
4,5PSNL1qE6VY,81322,12814557,Avatar | Official Trailer (HD) | 20th Century FOX,8941
5,PLtgIILX7E8,214037,45576378,AVATAR Full Movie 2023: Fallen Kingdom | Superhero FXL Action Movies 2023 in English (Game Movie),1405
6,m3zzyHEkMww,1833,60171,Avatar: The Last Airbender – Full Trailer | Netflix,129
7,nsO1isT60h8,4048,522265,Destruction of Home Tree - AVATAR (4k Movie Clip),632
8,TgT8b62FJRI,3789,306200,Jake Meets Neytiri - AVATAR (4k Movie Clip),172
9,YXtWPVFk5TQ,39700,3276332,Avatar 3  Official Trailer | James Cameron  | 20th Century Studios | Avatar 3 Trailer,1455
10,-pDP5K-xW2Y,7433,888559,Jake vs Colonel Quaritch - AVATAR (4k Movie Clip),440
11,TKndKigKkss,18198,293969,Avatar the Last Airbender movie coming 2024! #avatar #avatarthelastairbender #movie #nickelodeon,231
12,VjIdoK0xM5E,4480,1211703,Neytiri and Jake vs Quaritch - Final Battle Scene - Avatar (2009) Movie Clip HD,128
13,x0YqTRedPcw,29187,295373,If the Avatar movie was real,1463
14,WDFr1O_GeAQ,18858,2481133,Avatar (2009) - Best Scenes,638
15,Mvt1OWNk_Sg,5351,546512,The Final Battle (Part 1) - AVATAR (4k Movie Clip),216
16,5A6anrwecHM,3511,411504,Jake tames his Ikran - AVATAR (4k Movie Clip),84
17,V67Ytgs6KJo,10378,612583,Avatar: First Movie RECAP,320
18,3G6J-ITWekA,23869,5646646,Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip),682
19,ofvrOdrO9gY,17628,1375830,Neytiri saves Jake (Ending Scene) - AVATAR (4k Movie Clip),879
20,a8Gx8wiNbs8,682378,27801931,Avatar: The Way of Water | Official Teaser Trailer,29018
21,2u9ApB0sWxw,9010,580689,"AVATAR RECAP: Everything You need to Know Before ""Way of Water""",322
22,0sJeBiUCIt4,192139,32415792,AVATAR Clip - Final Battle (2009) James Cameron,3682
23,nxjOFZqtLJc,22322,1971118,AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+,610
24,Xkw96oC3LnI,35737,406141,First Look at Team Avatar Movie Poster (2025),1392
25,m-aWi-Qv5Tg,68362,976971,Did You Know This in AVATAR: THE WAY OF WATER? #shorts,715
26,kHNCaWjB-98,1022889,24149990,Zoe Saldana Performance Capture | AVATAR (2009) Before & After CGI #shorts,3186
27,zj6p5kYnPPY,159396,3644067,Film Theory: END the Avatar Cycle! (Avatar the Last Airbender),8867
28,HR2kbOK8i6I,78458,10171504,The Last Airbender (2010) - Earthbenders Revolt! Scene (2/10) | Movieclips,0
29,oFErWcXJLdw,49837,2582478,TRAINING TO BE IN THE NEXT AVATAR MOVIE,1675
30,pvt0BPgVOe4,1358,14490,AVATAR made me cry a bunch ☾ Movie Reaction! FIRST TIME WATCHING,165
31,e-kU0FPwXSc,246879,6654933,Film Theory: Avatar and the Science of Waterbending (Avatar the Last Airbender),18304
32,f5Zx8iPek5I,353363,7790146,Avatar 3 Will Introduce The Dark Side🔥 Of Na'vi…!?😮,4031
33,mdhEj_rG80Y,8400,3151408,AVATAR - Movie Behind the Scenes | Making of,138
34,cMzwBkBdX6w,61528,878692,Did You Know This in AVATAR: THE WAY OF WATER? #shorts,278
35,jbncrh_3NfM,5297,625354,The Final Battle (Part 3) - AVATAR (4k Movie Clip),212
36,hYWTPmmIdFA,7788,135885,When AVATAR 3 is coming out & the NOTES Executives gave James Cameron for ALL AVATAR SEQUELS,220
37,OHytHaN-UUA,171086,2513468,AVATAR is a STOLEN MOVIE?,1228
38,Hj6JCTAqFOo,342,89908,AVATAR 3 Full Movie 2023 Fallen Kingdom HD,12
39,zybXR9aEX8g,8970,267528,First Look at New Avatar Movie Just Leaked,981
40,wJ84Hda-H4c,65847,968973,PROTECTIVE FRIEND BE LIKE🤭 #avatar #avatar2 #avatarthewayofwater #rotxo,669
41,8mx5vRdBNP0,85880,917366,Seriously he did #fy #fyp #avatar #pandoravatar #pandora #avatar2 #avataredit #viral,865
42,_hcgNjpI9BQ,0,1542958,This is crazy 🤯🤯🤯 #avatar #disney #shorts,1295
43,zpSueMIfc2k,54046,13146863,"AVATAR Clip - ""Awake"" (2009) James Cameron",752
44,Mf5PZaLdFUU,915780,23710383,Avatar | Neytiri flying an Ikran | With behind the scenes side by side ✅ #shorts #avatar,1291
45,2r71I8lvTIA,155204,5138547,The Last Airbender Film: How it Disrespected a Great Series (Avatar Video Essay),27208
46,P1UnB0DJVCc,263277,5601233,How the Avatar people would look if they were humans #shorts,3080
47,bpI3oxTEd_I,710663,8132104,The Secret Airbender in Avatar the Last Airbender (ATLA)💨 #shorts,3607
48,XmxLG1HBNTk,8173,2439319,AVATAR Full Movie 2023: Galactic Empire | Superhero FXL Action Movies 2023 in English (Game Movie),69
49,bU2GSxkKqsU,87321,1988448,Avatar (2009) | Jake’s first appearance as a Avatar Scene,162
