,video_id,no_of_likes,no_of_views,title,no_of_comments
0,waJKJW_XU90,341150,13801173,Avatar: The Last Airbender | Official Teaser | Netflix,31596
1,6pHZmBin4Xc,18585,2424023,Toruk Macto - AVATAR (4k Movie Clip),480
2,d9MyW72ELq0,1042788,58124167,Avatar: The Way of Water | Official Trailer,43090
3,nsO1isT60h8,3762,476110,Destruction of Home Tree - AVATAR (4k Movie Clip),612
4,5PSNL1qE6VY,81210,12790571,Avatar | Official Trailer (HD) | 20th Century FOX,8939
5,QohBlL3WurE,2873,218819,Training with the Ikran - AVATAR (4k Movie Clip),65
6,-pDP5K-xW2Y,7017,827692,Jake vs Colonel Quaritch - AVATAR (4k Movie Clip),424
7,VjIdoK0xM5E,4340,1178244,Neytiri and Jake vs Quaritch - Final Battle Scene - Avatar (2009) Movie Clip HD,123
8,Mvt1OWNk_Sg,5013,506775,The Final Battle (Part 1) - AVATAR (4k Movie Clip),209
9,a8Gx8wiNbs8,682437,27758248,Avatar: The Way of Water | Official Teaser Trailer,29018
10,YXtWPVFk5TQ,39161,3187976,Avatar 3  Official Trailer | James Cameron  | 20th Century Studios | Avatar 3 Trailer,1422
11,PLtgIILX7E8,201567,42633043,AVATAR Full Movie 2023: Fallen Kingdom | Superhero FXL Action Movies 2023 in English (Game Movie),1315
12,ofvrOdrO9gY,16847,1288087,Neytiri saves Jake (Ending Scene) - AVATAR (4k Movie Clip),862
13,WDFr1O_GeAQ,18039,2336483,Avatar (2009) - Best Scenes,635
14,Hj6JCTAqFOo,232,61200,AVATAR 3 Full Movie 2023 Fallen Kingdom HD,12
15,3G6J-ITWekA,23132,5354730,Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip),674
16,ZM2k1UmcCXg,163668,28525373,"AVATAR Clip - ""Ikran"" (2009)",2209
17,TgT8b62FJRI,3671,289271,Jake Meets Neytiri - AVATAR (4k Movie Clip),170
18,oFErWcXJLdw,49529,2532482,TRAINING TO BE IN THE NEXT AVATAR MOVIE,1667
19,0sJeBiUCIt4,191743,32308787,AVATAR Clip - Final Battle (2009) James Cameron,3675
20,2u9ApB0sWxw,8996,579246,"AVATAR RECAP: Everything You need to Know Before ""Way of Water""",322
21,V67Ytgs6KJo,10338,609650,Avatar: First Movie RECAP,318
22,jbncrh_3NfM,4870,572832,The Final Battle (Part 3) - AVATAR (4k Movie Clip),199
23,mdhEj_rG80Y,8125,2917401,AVATAR - Movie Behind the Scenes | Making of,134
24,uLbnhYxh5Uk,114,40967,Avatar The Way Of Water full movie :2023 || official movie|| 2022,4
25,f5Zx8iPek5I,350315,7719047,Avatar 3 Will Introduce The Dark Side🔥 Of Na'vi…!?😮,3998
26,zpSueMIfc2k,54038,13117799,"AVATAR Clip - ""Awake"" (2009) James Cameron",754
27,nxjOFZqtLJc,21222,1830704,AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+,593
28,noVddIRzn3o,1152909,148857047,Sander VS Avatar Jake Sully #sandervs #satisfying #avatar,3280
29,Xkw96oC3LnI,32619,367674,First Look at Team Avatar Movie Poster (2025),1205
30,Ehf6iESkLMk,10633,2115505,Avatar 2: The Way Of Water - All Clips From The Movie (2022),137
31,QOg9LUIvaig,55194,3256245,"AVATAR: THE LAST AIRBENDER | Water, Earth, Fire, Air | Netflix",3976
32,HR2kbOK8i6I,78343,10146693,The Last Airbender (2010) - Earthbenders Revolt! Scene (2/10) | Movieclips,0
33,u3_Uhq6qxhU,6153,785941,AVATAR: THE LAST AIRBENDER Official First Look (2024) Netflix Live Action Trailer,1082
34,RGx8rYbRVR4,25924,430566,Why People Hate Avatar: A Lesson In Lazy Commentary,4044
35,T5vdPy7nbRQ,187370,2270073,Avatar Element Animation 2,4630
36,U7cVZD0idBw,18388,2395864,The Avatar wins a war with a Tsunami | The Last Airbender | CLIP,747
37,7xC-r3jOEp8,1897,289404,AVATAR: THE LAST AIRBENDER - OFFICIAL TRAILER (2024) | Netflix,190
38,kHNCaWjB-98,1021163,24091917,Zoe Saldana Performance Capture | AVATAR (2009) Before & After CGI #shorts,3184
39,3b7sKh_QIbQ,31386,3528505,Avatar: The Last of the Airbenders - Part One | Fan Film | JNJ Studios,799
40,TKndKigKkss,16497,267592,Avatar the Last Airbender movie coming 2024! #avatar #avatarthelastairbender #movie #nickelodeon,215
41,p_GgAHd5siE,135054,2217164,TOPH: An Avatar Fan Film,5399
42,2r71I8lvTIA,154759,5118065,The Last Airbender Film: How it Disrespected a Great Series (Avatar Video Essay),27174
43,vKGmPu04mE8,6152,1253162,Avatar 2 Final Battle Full HD - Jake vs Quaritch[Video 4K],132
44,cN0kUKNBfxE,27280,3204367,Avatar 2009 - The Final Battle - Best Fight Scenes FULL HD,641
45,XmxLG1HBNTk,7336,2185854,AVATAR Full Movie 2023: Galactic Empire | Superhero FXL Action Movies 2023 in English (Game Movie),60
46,n76KALvTN3Q,4393,1487342,Avatar: The Way of Water (2022) - Lo'ak Rush to Save Payakan,51
47,Cimy6T1nczw,120691,16185104,Avatar Scenes Without CGI,1631
48,X8SVkfbt8cs,20852,0,Avatar: The Way of Water,1691
49,hYWTPmmIdFA,7143,124675,When AVATAR 3 is coming out & the NOTES Executives gave James Cameron for ALL AVATAR SEQUELS,207
